date,id_compteur,nb_passages
2025-01-05,ZLT24020669,31
2025-01-06,100001753,136
2025-01-06,100003032,587
2025-01-06,100003040,12
2025-01-06,100003041,267
2025-01-06,100003042,322
2025-01-06,100004575,0
2025-01-06,100007390,3473
2025-01-06,100011747,95
2025-01-06,100011783,159
2025-01-06,100012217,258
2025-01-06,100017441,497
2025-01-06,100017523,52
2025-01-06,100025474,736
2025-01-06,100035408,101
2025-01-06,100035409,0
2025-01-06,100041114,23
2025-01-06,100047030,140
2025-01-06,100052600,287
2025-01-06,100052602,3
2025-01-06,100052603,42
2025-01-06,100052605,29
2025-01-06,100052606,89
2025-01-06,100053055,10
2025-01-06,100053059,61
2025-01-06,100053210,42
2025-01-06,100054073,31
2025-01-06,100055268,104
2025-01-06,100056188,304
2025-01-06,300014985,489
2025-01-06,300014986,473
2025-01-06,300014993,128
2025-01-06,300014994,106
2025-01-06,300014995,507
2025-01-06,300014996,428
2025-01-06,300020478,187
2025-01-06,300020679,822
2025-01-06,300020816,291
2025-01-06,300020817,275
2025-01-06,300021685,4
2025-01-06,300028650,115
2025-01-06,ZLT24020668,55
2025-01-06,ZLT24020669,39
2025-01-07,100001753,160
2025-01-07,100003032,615
2025-01-07,100003040,16
2025-01-07,100003041,264
2025-01-07,100003042,292
2025-01-07,100004575,0
2025-01-07,100007390,1909
2025-01-07,100011747,106
2025-01-07,100011783,166
2025-01-07,100012217,265
2025-01-07,100017441,507
2025-01-07,100017523,15
2025-01-07,100025474,437
2025-01-07,100035408,113
2025-01-07,100035409,0
2025-01-07,100041114,38
2025-01-07,100047030,125
2025-01-07,100052600,306
2025-01-07,100052602,7
2025-01-07,100052603,34
2025-01-07,100052605,22
2025-01-07,100052606,76
2025-01-07,100053055,21
2025-01-07,100053059,39
2025-01-07,100053210,43
2025-01-07,100054073,49
2025-01-07,100055268,91
2025-01-07,100056188,328
2025-01-07,300014985,508
2025-01-07,300014986,526
2025-01-07,300014993,169
2025-01-07,300014994,148
2025-01-07,300014995,608
2025-01-07,300014996,508
2025-01-07,300020478,130
2025-01-07,300020679,648
2025-01-07,300020816,353
2025-01-07,300020817,313
2025-01-07,300021685,0
2025-01-07,300028650,138
2025-01-07,ZLT24020668,25
2025-01-07,ZLT24020669,33
2025-01-08,100001753,121
2025-01-08,100003032,542
2025-01-08,100003040,8
2025-01-08,100003041,323
2025-01-08,100003042,222
2025-01-08,100004575,0
2025-01-08,100007390,2620
2025-01-08,100011747,99
2025-01-08,100011783,118
2025-01-08,100012217,240
2025-01-08,100017441,430
2025-01-08,100017523,5
2025-01-08,100025474,694
2025-01-08,100035408,100
2025-01-08,100035409,0
2025-01-08,100041114,8
2025-01-08,100047030,132
2025-01-08,100052600,285
2025-01-08,100052602,7
2025-01-08,100052603,12
2025-01-08,100052605,15
2025-01-08,100052606,78
2025-01-08,100053055,7
2025-01-08,100053059,36
2025-01-08,100053210,43
2025-01-08,100054073,34
2025-01-08,100055268,99
2025-01-08,100056188,277
2025-01-08,300014985,505
2025-01-08,300014986,459
2025-01-08,300014993,124
2025-01-08,300014994,99
2025-01-08,300014995,509
2025-01-08,300014996,487
2025-01-08,300020478,74
2025-01-08,300020679,735
2025-01-08,300020816,305
2025-01-08,300020817,269
2025-01-08,300021685,0
2025-01-08,300028650,116
2025-01-08,ZLT24020668,42
2025-01-08,ZLT24020669,49
2025-01-09,100001753,168
2025-01-09,100003032,619
2025-01-09,100003040,7
2025-01-09,100003041,326
2025-01-09,100003042,258
2025-01-09,100004575,0
2025-01-09,100007390,2285
2025-01-09,100011747,128
2025-01-09,100011783,168
2025-01-09,100012217,308
2025-01-09,100017441,458
2025-01-09,100017523,9
2025-01-09,100025474,998
2025-01-09,100035408,100
2025-01-09,100035409,0
2025-01-09,100041114,14
2025-01-09,100047030,149
2025-01-09,100052600,346
2025-01-09,100052602,4
2025-01-09,100052603,8
2025-01-09,100052605,24
2025-01-09,100052606,54
2025-01-09,100053055,5
2025-01-09,100053059,29
2025-01-09,100053210,35
2025-01-09,100054073,34
2025-01-09,100055268,87
2025-01-09,100056188,325
2025-01-09,300014985,489
2025-01-09,300014986,505
2025-01-09,300014993,152
2025-01-09,300014994,121
2025-01-09,300014995,576
2025-01-09,300014996,516
2025-01-09,300020478,79
2025-01-09,300020679,851
2025-01-09,300020816,363
2025-01-09,300020817,315
2025-01-09,300021685,1
2025-01-09,300028650,126
2025-01-09,ZLT24020668,37
2025-01-09,ZLT24020669,56
2025-01-10,100001753,104
2025-01-10,100003032,543
2025-01-10,100003040,12
2025-01-10,100003041,318
2025-01-10,100003042,260
2025-01-10,100004575,0
2025-01-10,100007390,786
2025-01-10,100011747,91
2025-01-10,100011783,136
2025-01-10,100012217,324
2025-01-10,100017441,390
2025-01-10,100017523,13
2025-01-10,100025474,721
2025-01-10,100035408,87
2025-01-10,100035409,0
2025-01-10,100041114,16
2025-01-10,100047030,136
2025-01-10,100052600,325
2025-01-10,100052602,6
2025-01-10,100052603,22
2025-01-10,100052605,29
2025-01-10,100052606,81
2025-01-10,100053055,14
2025-01-10,100053059,34
2025-01-10,100053210,52
2025-01-10,100054073,47
2025-01-10,100055268,89
2025-01-10,100056188,300
2025-01-10,300014985,466
2025-01-10,300014986,439
2025-01-10,300014993,124
2025-01-10,300014994,111
2025-01-10,300014995,505
2025-01-10,300014996,462
2025-01-10,300020478,124
2025-01-10,300020679,811
2025-01-10,300020816,325
2025-01-10,300020817,275
2025-01-10,300021685,3
2025-01-10,300028650,127
2025-01-10,ZLT24020668,48
2025-01-10,ZLT24020669,52
2025-01-11,100001753,55
2025-01-11,100003032,221
2025-01-11,100003040,8
2025-01-11,100003041,91
2025-01-11,100003042,92
2025-01-11,100004575,0
2025-01-11,100007390,1695
2025-01-11,100011747,28
2025-01-11,100011783,55
2025-01-11,100012217,212
2025-01-11,100017441,129
2025-01-11,100017523,21
2025-01-11,100025474,408
2025-01-11,100035408,50
2025-01-11,100035409,0
2025-01-11,100041114,17
2025-01-11,100047030,64
2025-01-11,100052600,162
2025-01-11,100052602,0
2025-01-11,100052603,14
2025-01-11,100052605,22
2025-01-11,100052606,36
2025-01-11,100053055,6
2025-01-11,100053059,46
2025-01-11,100053210,31
2025-01-11,100054073,10
2025-01-11,100055268,40
2025-01-11,100056188,128
2025-01-11,300014985,239
2025-01-11,300014986,227
2025-01-11,300014993,54
2025-01-11,300014994,35
2025-01-11,300014995,260
2025-01-11,300014996,206
2025-01-11,300020478,62
2025-01-11,300020679,361
2025-01-11,300020816,133
2025-01-11,300020817,125
2025-01-11,300021685,2
2025-01-11,300028650,65
2025-01-11,ZLT24020668,33
2025-01-11,ZLT24020669,44
2025-01-12,100001753,41
2025-01-12,100003032,206
2025-01-12,100003040,7
2025-01-12,100003041,129
2025-01-12,100003042,123
2025-01-12,100004575,0
2025-01-12,100007390,2017
2025-01-12,100011747,28
2025-01-12,100011783,51
2025-01-12,100012217,241
2025-01-12,100017441,140
2025-01-12,100017523,9
2025-01-12,100025474,477
2025-01-12,100035408,52
2025-01-12,100035409,0
2025-01-12,100041114,35
2025-01-12,100047030,52
2025-01-12,100052600,186
2025-01-12,100052602,2
2025-01-12,100052603,21
2025-01-12,100052605,26
2025-01-12,100052606,40
2025-01-12,100053055,10
2025-01-12,100053059,23
2025-01-12,100053210,31
2025-01-12,100054073,11
2025-01-12,100055268,79
2025-01-12,100056188,137
2025-01-12,300014985,225
2025-01-12,300014986,221
2025-01-12,300014993,60
2025-01-12,300014994,44
2025-01-12,300014995,249
2025-01-12,300014996,211
2025-01-12,300020478,66
2025-01-12,300020679,400
2025-01-12,300020816,160
2025-01-12,300020817,144
2025-01-12,300021685,0
2025-01-12,300028650,66
2025-01-12,ZLT24020668,19
2025-01-12,ZLT24020669,31
2025-01-13,100001753,184
2025-01-13,100003032,715
2025-01-13,100003040,15
2025-01-13,100003041,339
2025-01-13,100003042,322
2025-01-13,100004575,0
2025-01-13,100007390,1249
2025-01-13,100011747,130
2025-01-13,100011783,179
2025-01-13,100012217,319
2025-01-13,100017441,547
2025-01-13,100017523,14
2025-01-13,100025474,657
2025-01-13,100035408,104
2025-01-13,100035409,0
2025-01-13,100041114,8
2025-01-13,100047030,186
2025-01-13,100052600,364
2025-01-13,100052602,6
2025-01-13,100052603,24
2025-01-13,100052605,28
2025-01-13,100052606,61
2025-01-13,100053055,14
2025-01-13,100053059,53
2025-01-13,100053210,50
2025-01-13,100054073,44
2025-01-13,100055268,110
2025-01-13,100056188,325
2025-01-13,300014985,610
2025-01-13,300014986,566
2025-01-13,300014993,170
2025-01-13,300014994,130
2025-01-13,300014995,665
2025-01-13,300014996,591
2025-01-13,300020478,165
2025-01-13,300020679,892
2025-01-13,300020816,403
2025-01-13,300020817,370
2025-01-13,300021685,0
2025-01-13,300028650,136
2025-01-13,ZLT24020668,43
2025-01-13,ZLT24020669,48
2025-01-14,100001753,171
2025-01-14,100003032,813
2025-01-14,100003040,7
2025-01-14,100003041,417
2025-01-14,100003042,358
2025-01-14,100004575,0
2025-01-14,100007390,3953
2025-01-14,100011747,122
2025-01-14,100011783,215
2025-01-14,100012217,394
2025-01-14,100017441,658
2025-01-14,100017523,15
2025-01-14,100025474,1151
2025-01-14,100035408,128
2025-01-14,100035409,0
2025-01-14,100041114,17
2025-01-14,100047030,164
2025-01-14,100052600,386
2025-01-14,100052602,10
2025-01-14,100052603,13
2025-01-14,100052605,13
2025-01-14,100052606,82
2025-01-14,100053055,13
2025-01-14,100053059,41
2025-01-14,100053210,44
2025-01-14,100054073,52
2025-01-14,100055268,119
2025-01-14,100056188,396
2025-01-14,300014985,671
2025-01-14,300014986,637
2025-01-14,300014993,195
2025-01-14,300014994,159
2025-01-14,300014995,785
2025-01-14,300014996,668
2025-01-14,300020478,191
2025-01-14,300020679,1059
2025-01-14,300020816,289
2025-01-14,300020817,385
2025-01-14,300021685,1
2025-01-14,300028650,155
2025-01-14,ZLT24020668,70
2025-01-14,ZLT24020669,29
2025-01-15,100001753,191
2025-01-15,100003032,808
2025-01-15,100003040,10
2025-01-15,100003041,611
2025-01-15,100003042,392
2025-01-15,100004575,0
2025-01-15,100007390,1880
2025-01-15,100011747,127
2025-01-15,100011783,201
2025-01-15,100012217,346
2025-01-15,100017441,655
2025-01-15,100017523,18
2025-01-15,100025474,1497
2025-01-15,100035408,123
2025-01-15,100035409,0
2025-01-15,100041114,25
2025-01-15,100047030,163
2025-01-15,100052600,390
2025-01-15,100052602,7
2025-01-15,100052603,34
2025-01-15,100052605,22
2025-01-15,100052606,88
2025-01-15,100053055,18
2025-01-15,100053059,90
2025-01-15,100053210,50
2025-01-15,100054073,83
2025-01-15,100055268,114
