annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1993,27,TR,45,14434.0,6002481.0
1993,16,DE,62,0.0,
1993,6,CO,24,161512.81,76877646.0
1993,6,DE,38,3906.0,
1993,6,TR,839,779019.16,155133926.0
1993,2,CO,29,17750.53,3409038.0
1993,2,DE,79,5280.0,
1993,2,TR,329,101879.52,16302078.0
1994,1,"CO, DE, TR",370,221422.58,45184431.0
1994,7,CO,31,182508.3,34426373.0
1994,7,DE,12,1800.0,
1994,7,TR,386,191464.29,34506111.0
1994,22,"CA, CO, DE, TR",313,66643.0,21355700.0
1994,13,CA,1222,243209.82,3455520.0
1994,13,CO,243,38464.0,23147063.0
1994,13,TR,118,11226.0,7237580.0
1994,5,CO,40,60136.0,11141982.0
1994,5,DE,36,2100.0,
1994,5,TR,642,153941.14,27405732.0
1994,8,CO,28,21154.3,3819270.0
1994,8,DE,26,2700.0,
1994,8,TR,225,137532.62,23849202.0
1994,4,CO,53,186456.03,33546226.0
1994,4,DE,30,5100.0,
1994,4,TR,413,346919.57,61359638.0
1994,9,CO,391,339464.52,73711490.0
1994,9,DE,28,6585.0,
1994,9,TR,270,81600.7,13449660.0
1994,3,CO,49,43499.82,7520155.0
1994,3,DE,76,5385.0,
1994,3,TR,399,242773.43,56375031.0
1994,27,CA,826,63328.0,24766033.0
1994,27,CO,184,66268.9,33037000.0
1994,27,DE,19,1834.0,
1994,27,TR,43,26425.0,11554370.0
1994,16,"CO, DE",68,425.0,382000.0
1994,6,CO,25,739731.27,132650279.0
1994,6,DE,24,4200.0,
1994,6,TR,865,968409.4,155563250.0
1994,2,CO,29,34667.66,4473210.0
1994,2,DE,25,1500.0,
1994,2,TR,304,101382.88,18429039.0
1995,1,CO,39,36805.3,6751795.0
1995,1,DE,22,5100.0,
1995,1,TR,305,201462.78,31401811.0
1995,7,CO,26,228427.46,38625740.0
1995,7,DE,11,300.0,
1995,7,TR,406,295510.28,34152578.0
1995,22,"CA, CO, DE, TR",268,45073.0,15126725.0
1995,13,CA,962,207630.0,1423060.0
1995,13,CO,190,27656.0,29997529.0
1995,13,TR,105,11265.0,6404750.0
1995,5,CO,20,44681.68,6393500.0
1995,5,DE,46,3600.0,
1995,5,TR,653,182092.87,47365372.0
1995,8,CO,26,39540.59,3685730.0
1995,8,DE,25,6300.0,
1995,8,TR,227,88766.59,14804068.0
1995,4,CO,38,30589.24,7174300.0
1995,4,DE,19,2700.0,
1995,4,TR,384,135583.93,22670429.0
1995,9,CO,206,76978.8,19254072.0
1995,9,DE,21,5700.0,
1995,9,TR,296,134326.21,22882686.0
1995,3,CO,29,24769.79,4841556.0
1995,3,DE,35,3600.0,
1995,3,TR,401,312389.02,55091206.0
1995,27,"CA, CO, DE, TR",652,313571.0,75124261.0
1995,16,CO,381,36781.0,21782594.0
1995,16,DE,121,3078.0,
1995,6,CO,12,441693.51,72920550.0
1995,6,DE,27,5300.0,
1995,6,TR,970,1065778.08,183561843.0
1995,2,CO,16,21044.05,3679855.0
1995,2,DE,28,2700.0,
1995,2,TR,305,114892.82,20755039.0
1996,1,CO,53,48447.18,9897993.0
1996,1,DE,23,2100.0,
1996,1,TR,581,182050.86,30717297.0
1996,7,CO,18,134685.91,22731984.0
1996,7,DE,20,1851.99,
1996,7,TR,521,174897.64,28303224.0
1996,22,"CA, CO, DE, TR",250,31914.8,9154498.0
1996,13,CA,1023,282707.0,1004692.0
1996,13,CO,172,46781.0,27771222.0
1996,13,TR,122,14007.0,9611450.0
1996,5,CO,28,31995.03,7297000.0
1996,5,DE,61,3300.0,
1996,5,TR,724,173039.48,31027449.0
1996,8,CO,13,34465.0,12921500.0
1996,8,DE,42,3641.0,
1996,8,TR,315,93476.55,15808944.0
1996,4,CO,37,25815.5,6103080.0
1996,4,DE,49,2600.0,
1996,4,TR,672,203343.31,36704466.0
1996,9,CO,187,85266.08,22595975.0
1996,9,DE,20,4200.0,
1996,9,TR,472,76816.26,13209462.0
1996,3,CO,25,21342.56,5497249.0
1996,3,DE,79,2700.0,
1996,3,TR,640,173156.14,31579290.0
1996,27,CA,853,69417.0,32601453.0
1996,27,CO,67,31687.0,14731000.0
1996,27,DE,19,6882.0,
1996,27,TR,65,22945.0,20278899.0
1996,16,CO,470,35047.0,13778497.0
1996,16,DE,101,2624.0,
1996,6,CO,30,59393.01,10006695.0
1996,6,DE,31,6500.0,
1996,6,TR,969,1296976.58,214187631.0
1996,2,CO,24,175073.0,32205206.0
1996,2,DE,43,3300.0,
1996,2,TR,507,94561.4,16750866.0
1997,1,CO,50,32994.9,8839465.0
1997,1,DE,17,3035.0,
1997,1,TR,376,170193.17,15870405.0
1997,7,CO,42,96989.0,26282000.0
1997,7,DE,17,3035.0,
1997,7,TR,462,319930.08,50050111.0
1997,22,"CA, CO, DE, TR",253,38602.0,11552229.0
1997,13,CA,1121,234802.0,1933465.0
1997,13,CO,211,58920.0,28087848.0
1997,13,TR,142,11241.0,5562000.0
