heure,id_compteur,nb_passages
01:00:00,300028650,399
01:00:00,ZLT24020668,246
01:00:00,ZLT24020669,178
01:15:00,100001753,473
01:15:00,100003032,2166
01:15:00,100003040,13
01:15:00,100003041,1118
01:15:00,100003042,1027
01:15:00,100004575,0
01:15:00,100007390,2345
01:15:00,100011747,257
01:15:00,100011783,556
01:15:00,100012217,1431
01:15:00,100012218,372
01:15:00,100017441,1307
01:15:00,100017523,92
01:15:00,100025474,1486
01:15:00,100034805,7
01:15:00,100035408,30
01:15:00,100035409,1
01:15:00,100041114,71
01:15:00,100047030,645
01:15:00,100052600,1342
01:15:00,100052602,23
01:15:00,100052603,510
01:15:00,100052605,93
01:15:00,100052606,372
01:15:00,100053055,57
01:15:00,100053059,101
01:15:00,100053210,155
01:15:00,100054073,85
01:15:00,100055268,315
01:15:00,100056188,1949
01:15:00,300014985,1604
01:15:00,300014986,2401
01:15:00,300014993,440
01:15:00,300014994,41
01:15:00,300014995,3275
01:15:00,300014996,1253
01:15:00,300020478,883
01:15:00,300020679,1015
01:15:00,300020816,665
01:15:00,300020817,1184
01:15:00,300021685,36
01:15:00,300022314,0
01:15:00,300028650,353
01:15:00,ZLT24020668,249
01:15:00,ZLT24020669,155
01:30:00,100001753,446
01:30:00,100003032,1893
01:30:00,100003040,14
01:30:00,100003041,1018
01:30:00,100003042,920
01:30:00,100004575,0
01:30:00,100007390,2402
01:30:00,100011747,211
01:30:00,100011783,347
01:30:00,100012217,1323
01:30:00,100012218,299
01:30:00,100017441,1045
01:30:00,100017523,67
01:30:00,100025474,1321
01:30:00,100034805,10
01:30:00,100035408,19
01:30:00,100035409,0
01:30:00,100041114,60
01:30:00,100047030,542
01:30:00,100052600,1155
01:30:00,100052602,20
01:30:00,100052603,451
01:30:00,100052605,70
01:30:00,100052606,304
01:30:00,100053055,44
01:30:00,100053059,106
01:30:00,100053210,98
01:30:00,100054073,112
01:30:00,100055268,330
01:30:00,100056188,1653
01:30:00,300014985,1342
01:30:00,300014986,2372
01:30:00,300014993,513
01:30:00,300014994,39
01:30:00,300014995,2693
01:30:00,300014996,992
01:30:00,300020478,903
01:30:00,300020679,881
01:30:00,300020816,589
01:30:00,300020817,1173
01:30:00,300021685,23
01:30:00,300022314,0
01:30:00,300028650,284
01:30:00,ZLT24020668,234
01:30:00,ZLT24020669,147
01:45:00,100001753,322
01:45:00,100003032,1651
01:45:00,100003040,21
01:45:00,100003041,824
01:45:00,100003042,767
01:45:00,100004575,0
01:45:00,100007390,2268
01:45:00,100011747,200
01:45:00,100011783,460
01:45:00,100012217,1045
01:45:00,100012218,237
01:45:00,100017441,962
01:45:00,100017523,76
01:45:00,100025474,1144
01:45:00,100034805,11
01:45:00,100035408,18
01:45:00,100035409,3
01:45:00,100041114,52
01:45:00,100047030,501
01:45:00,100052600,1016
01:45:00,100052602,16
01:45:00,100052603,370
01:45:00,100052605,63
01:45:00,100052606,257
01:45:00,100053055,43
01:45:00,100053059,75
01:45:00,100053210,103
01:45:00,100054073,118
01:45:00,100055268,306
01:45:00,100056188,1537
01:45:00,300014985,1088
01:45:00,300014986,1833
01:45:00,300014993,377
01:45:00,300014994,29
01:45:00,300014995,2502
01:45:00,300014996,915
01:45:00,300020478,758
01:45:00,300020679,767
01:45:00,300020816,482
01:45:00,300020817,887
01:45:00,300021685,20
01:45:00,300022314,0
01:45:00,300028650,251
01:45:00,ZLT24020668,233
01:45:00,ZLT24020669,115
02:00:00,100001753,317
02:00:00,100003032,1470
02:00:00,100003040,13
02:00:00,100003041,710
02:00:00,100003042,782
02:00:00,100004575,0
02:00:00,100007390,2028
02:00:00,100011747,190
02:00:00,100011783,350
02:00:00,100012217,1063
02:00:00,100012218,216
02:00:00,100017441,987
02:00:00,100017523,60
02:00:00,100025474,1071
02:00:00,100034805,4
02:00:00,100035408,7
02:00:00,100035409,2
02:00:00,100041114,49
02:00:00,100047030,561
02:00:00,100052600,905
02:00:00,100052602,15
02:00:00,100052603,379
02:00:00,100052605,96
02:00:00,100052606,215
02:00:00,100053055,49
02:00:00,100053059,61
02:00:00,100053210,67
02:00:00,100054073,79
02:00:00,100055268,296
02:00:00,100056188,1400
02:00:00,300014985,999
02:00:00,300014986,1794
02:00:00,300014993,312
02:00:00,300014994,30
02:00:00,300014995,2379
02:00:00,300014996,495
02:00:00,300020478,624
02:00:00,300020679,741
02:00:00,300020816,362
02:00:00,300020817,755
02:00:00,300021685,12
02:00:00,300022314,0
02:00:00,300028650,238
02:00:00,ZLT24020668,209
02:00:00,ZLT24020669,126
02:15:00,100001753,314
02:15:00,100003032,1256
02:15:00,100003040,8
02:15:00,100003041,731
02:15:00,100003042,662
02:15:00,100004575,0
02:15:00,100007390,2131
02:15:00,100011747,162
02:15:00,100011783,356
02:15:00,100012217,944
02:15:00,100012218,205
02:15:00,100017441,609
02:15:00,100017523,53
02:15:00,100025474,927
02:15:00,100034805,6
02:15:00,100035408,16
02:15:00,100035409,1
02:15:00,100041114,36
02:15:00,100047030,430
02:15:00,100052600,902
02:15:00,100052602,9
02:15:00,100052603,330
02:15:00,100052605,112
02:15:00,100052606,214
02:15:00,100053055,62
02:15:00,100053059,61
02:15:00,100053210,64
02:15:00,100054073,84
02:15:00,100055268,380
02:15:00,100056188,1291
02:15:00,300014985,853
02:15:00,300014986,1623
